Age,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,JobInvolvement,JobRole,JobSatisfaction,MonthlyIncome,PerformanceRating,RelationshipSatisfaction,WorkLifeBalance,Attrition,AgeGroup
36,Research & Development,11,Bachelor,Life Sciences,1,Medium,Male,Medium,Manufacturing Director,Medium,6499,Excellent,High,Better,No,36-45
45,Research & Development,7,Bachelor,Life Sciences,1,Medium,Male,High,Research Scientist,Low,9724,Excellent,High,Better,No,46-55
35,Research & Development,1,Bachelor,Medical,1,Medium,Male,High,Research Scientist,Low,2194,Excellent,Very High,Good,No,36-45
36,Research & Development,9,Bachelor,Medical,1,High,Male,Medium,Research Scientist,High,3388,Excellent,Low,Good,Yes,36-45
59,Sales,1,Below College,Life Sciences,1,Low,Female,Medium,Sales Executive,High,5473,Excellent,Very High,Good,No,56-65
29,Research & Development,2,Bachelor,Life Sciences,1,High,Male,High,Research Scientist,Medium,2703,Outstanding,Very High,Better,No,26-35
31,Research & Development,1,Master,Medical,1,High,Male,High,Research Scientist,Medium,2501,Excellent,Medium,Better,No,26-35
32,Research & Development,1,Bachelor,Life Sciences,1,Medium,Male,High,Research Scientist,Medium,6220,Excellent,Medium,Better,No,26-35
36,Research & Development,6,Bachelor,Life Sciences,1,Medium,Female,Very High,Laboratory Technician,Very High,3038,Excellent,Medium,Better,No,36-45
31,Research & Development,8,Master,Life Sciences,1,High,Female,High,Manufacturing Director,Very High,4424,Outstanding,Very High,Better,No,26-35
35,Sales,1,Master,Marketing,1,High,Male,Medium,Sales Executive,Low,4312,Excellent,Medium,Better,No,36-45
45,Research & Development,6,Master,Other,1,High,Male,High,Research Director,Low,13245,Excellent,Medium,Best,No,46-55
37,Research & Development,7,Master,Medical,1,Low,Male,High,Research Director,High,13664,Excellent,Low,Best,No,36-45
46,Human Resources,5,College,Medical,1,Medium,Male,High,Human Resources,Medium,5021,Outstanding,Very High,Better,No,46-55
30,Research & Development,1,Below College,Life Sciences,1,High,Male,Medium,Laboratory Technician,Very High,5126,Excellent,High,Good,No,26-35
35,Research & Development,1,Bachelor,Medical,1,Medium,Male,Medium,Research Scientist,High,2859,Excellent,Low,Better,No,36-45
55,Sales,1,College,Life Sciences,1,Low,Male,High,Sales Executive,Very High,10239,Excellent,Very High,Better,No,56-65
38,Research & Development,6,Bachelor,Medical,1,Medium,Female,Low,Research Scientist,Very High,5329,Excellent,Very High,Better,No,36-45
34,Research & Development,1,College,Medical,1,Low,Male,High,Manufacturing Director,Medium,4325,Excellent,High,Better,No,26-35
56,Research & Development,7,Bachelor,Life Sciences,1,High,Male,Low,Manufacturing Director,Very High,7260,Excellent,Low,Good,No,56-65
23,Sales,2,Below College,Technical Degree,1,High,Male,High,Sales Representative,Low,2322,Excellent,High,Better,No,18-25
51,Research & Development,9,Master,Life Sciences,1,High,Male,High,Laboratory Technician,Very High,2075,Outstanding,Medium,Better,No,46-55
30,Research & Development,2,Bachelor,Life Sciences,1,High,Male,Medium,Healthcare Representative,Very High,4152,Excellent,Low,Better,No,26-35
46,Sales,9,College,Medical,1,High,Male,Medium,Sales Executive,Very High,9619,Excellent,Very High,Better,Yes,46-55
40,Research & Development,1,Master,Life Sciences,1,High,Male,Medium,Healthcare Representative,Medium,13503,Outstanding,Very High,Good,No,36-45
51,Sales,21,Master,Marketing,1,High,Male,High,Sales Executive,Very High,5441,Outstanding,Very High,Bad,No,46-55
30,Sales,4,College,Medical,1,High,Female,Medium,Sales Executive,Medium,5209,Excellent,Medium,Good,No,26-35
46,Research & Development,1,Bachelor,Medical,1,High,Male,Medium,Healthcare Representative,Low,10673,Excellent,High,Good,No,46-55
32,Sales,6,Master,Medical,1,Medium,Male,High,Sales Executive,High,5010,Excellent,Low,Better,No,26-35
54,Research & Development,2,Master,Technical Degree,1,Low,Female,High,Research Director,High,13549,Excellent,Low,Bad,No,46-55
24,Sales,3,College,Other,1,Low,Female,High,Sales Executive,High,4999,Outstanding,Low,Good,No,18-25
28,Sales,4,Bachelor,Medical,1,Medium,Male,High,Sales Executive,High,4221,Excellent,Medium,Best,No,26-35
58,Sales,10,Master,Medical,1,High,Male,High,Sales Executive,High,13872,Excellent,High,Good,No,56-65
44,Research & Development,23,Bachelor,Medical,1,Medium,Male,High,Laboratory Technician,Medium,2042,Excellent,High,Best,No,36-45
37,Human Resources,6,Master,Human Resources,1,High,Male,High,Human Resources,Low,2073,Outstanding,Very High,Better,Yes,36-45
32,Research & Development,1,Below College,Life Sciences,1,High,Male,High,Research Scientist,Low,2956,Excellent,Very High,Better,No,26-35
20,Research & Development,6,Bachelor,Life Sciences,1,High,Female,Medium,Laboratory Technician,Very High,2926,Excellent,Medium,Better,Yes,18-25
34,Research & Development,6,Master,Other,1,Low,Female,High,Research Scientist,High,4809,Excellent,High,Better,No,26-35
37,Research & Development,2,College,Life Sciences,1,High,Male,Medium,Healthcare Representative,Very High,5163,Excellent,Very High,Best,No,36-45
59,Human Resources,2,Master,Human Resources,1,High,Female,Medium,Manager,Very High,18844,Outstanding,Very High,Better,No,56-65
50,Research & Development,1,Bachelor,Life Sciences,1,Low,Female,High,Research Director,Medium,18172,Excellent,Low,Good,No,46-55
25,Sales,5,Bachelor,Marketing,1,High,Male,Medium,Sales Executive,High,5744,Excellent,Very High,Better,Yes,26-35
25,Research & Development,7,Below College,Medical,1,High,Male,Medium,Research Scientist,Very High,2889,Excellent,High,Better,No,26-35
22,Research & Development,15,Bachelor,Medical,1,Medium,Female,High,Laboratory Technician,Very High,2871,Excellent,High,Better,No,18-25
51,Research & Development,1,Master,Medical,1,Low,Female,Medium,Healthcare Representative,Low,7484,Outstanding,High,Good,No,46-55
34,Research & Development,7,Bachelor,Life Sciences,1,Low,Male,Low,Laboratory Technician,High,6074,Outstanding,Very High,Better,Yes,26-35
54,Human Resources,26,Bachelor,Human Resources,1,High,Female,Very High,Manager,Very High,17328,Excellent,High,Better,No,46-55
24,Research & Development,18,Below College,Life Sciences,1,Medium,Male,High,Laboratory Technician,High,2774,Excellent,High,Better,No,18-25
34,Research & Development,6,Master,Life Sciences,1,High,Female,Medium,Research Scientist,Medium,4505,Excellent,High,Better,No,26-35
37,Sales,3,Bachelor,Life Sciences,1,High,Male,High,Sales Executive,Very High,7428,Excellent,Low,Better,No,36-45
34,Research & Development,5,Bachelor,Medical,1,High,Female,Medium,Manager,Low,11631,Excellent,Very High,Better,No,26-35
36,Sales,11,College,Technical Degree,1,Medium,Female,High,Sales Executive,Very High,9738,Excellent,High,Better,No,36-45
36,Research & Development,3,College,Life Sciences,1,Low,Female,High,Laboratory Technician,Very High,2835,Outstanding,Low,Better,No,36-45
43,Sales,26,College,Life Sciences,1,High,Male,High,Manager,Very High,16959,Excellent,Very High,Best,No,36-45
30,Research & Development,23,Bachelor,Life Sciences,1,Low,Male,Low,Research Scientist,High,2613,Outstanding,High,Good,No,26-35
33,Sales,22,College,Marketing,1,High,Male,High,Sales Executive,Medium,6146,Excellent,Low,Best,No,26-35
56,Research & Development,14,Master,Life Sciences,1,Medium,Female,High,Research Scientist,Medium,4963,Excellent,Low,Better,Yes,56-65
51,Research & Development,6,Bachelor,Life Sciences,1,Low,Male,High,Research Director,High,19537,Excellent,High,Better,No,46-55
31,Sales,6,Master,Life Sciences,1,Medium,Male,Low,Sales Executive,High,6172,Excellent,Medium,Good,Yes,26-35
26,Research & Development,6,Bachelor,Other,1,High,Female,Medium,Research Scientist,Medium,2368,Excellent,High,Good,No,26-35
58,Research & Development,23,Master,Medical,1,High,Female,High,Healthcare Representative,Very High,10312,Excellent,Very High,Good,Yes,56-65
19,Sales,22,Below College,Marketing,1,High,Male,High,Sales Representative,High,1675,Excellent,Very High,Good,Yes,18-25
22,Research & Development,2,Below College,Technical Degree,1,High,Male,High,Laboratory Technician,Very High,2523,Excellent,High,Better,No,18-25
49,Research & Development,20,Master,Medical,1,High,Female,High,Manufacturing Director,Low,6567,Excellent,High,Good,No,46-55
43,Research & Development,28,Bachelor,Medical,1,Medium,Female,Very High,Research Scientist,High,4739,Excellent,Very High,Better,No,36-45
50,Sales,12,Bachelor,Marketing,1,High,Female,High,Sales Executive,Very High,9208,Excellent,Very High,Better,No,46-55
31,Sales,20,Bachelor,Life Sciences,1,Medium,Female,Low,Sales Executive,High,4559,Excellent,High,Better,Yes,26-35
41,Sales,9,Below College,Life Sciences,1,High,Male,High,Sales Executive,High,8189,Excellent,High,Better,No,36-45
26,Human Resources,25,Below College,Life Sciences,1,High,Female,High,Human Resources,High,2942,Outstanding,Very High,Better,No,26-35
36,Research & Development,6,College,Medical,1,Medium,Male,High,Manufacturing Director,Medium,4941,Outstanding,Very High,Better,No,36-45
51,Research & Development,8,Master,Life Sciences,1,Low,Male,Low,Manufacturing Director,Very High,10650,Excellent,Very High,Better,Yes,46-55
39,Sales,4,Master,Life Sciences,1,High,Female,Medium,Sales Executive,High,5902,Excellent,High,Best,No,36-45
25,Sales,28,Bachelor,Life Sciences,1,Low,Male,Medium,Sales Executive,High,8639,Excellent,Very High,Better,No,26-35
30,Human Resources,9,Bachelor,Human Resources,1,High,Male,High,Human Resources,Very High,6347,Excellent,Very High,Bad,No,26-35
32,Research & Development,9,Bachelor,Medical,1,Low,Female,High,Laboratory Technician,Low,4200,Outstanding,Low,Best,Yes,26-35
45,Research & Development,29,Bachelor,Medical,1,High,Male,High,Research Scientist,Very High,3452,Excellent,Medium,Good,No,46-55
38,Research & Development,3,Doctor,Technical Degree,1,High,Female,High,Research Scientist,High,4317,Outstanding,Medium,Better,No,36-45
30,Research & Development,18,Bachelor,Life Sciences,1,Low,Female,High,Research Scientist,High,2632,Excellent,High,Good,No,26-35
32,Sales,9,College,Medical,1,High,Male,Low,Sales Executive,Very High,4668,Excellent,Very High,Best,No,26-35
30,Research & Development,5,Bachelor,Technical Degree,1,High,Female,High,Research Scientist,Low,3204,Excellent,Very High,Better,No,26-35
30,Research & Development,2,Below College,Medical,1,Medium,Male,Medium,Laboratory Technician,Very High,2720,Excellent,Very High,Better,No,26-35
41,Research & Development,10,Bachelor,Life Sciences,1,High,Male,Medium,Manager,Low,17181,Excellent,Medium,Good,No,36-45
41,Research & Development,9,Master,Life Sciences,1,High,Male,High,Laboratory Technician,Low,2238,Outstanding,Very High,Better,No,36-45
19,Research & Development,3,Below College,Medical,1,Medium,Female,High,Laboratory Technician,Medium,1483,Excellent,Very High,Better,No,18-25
40,Research & Development,26,Bachelor,Medical,1,Medium,Female,High,Research Scientist,Medium,5605,Excellent,Low,Better,No,36-45
35,Sales,1,Doctor,Marketing,1,High,Male,High,Sales Executive,Medium,7295,Excellent,Low,Better,No,36-45
53,Sales,6,College,Marketing,1,Medium,Male,High,Sales Representative,High,2306,Outstanding,Very High,Bad,No,46-55
45,Research & Development,9,Bachelor,Life Sciences,1,Medium,Male,High,Laboratory Technician,Medium,2348,Excellent,High,Bad,No,46-55
32,Sales,8,Bachelor,Marketing,1,Medium,Female,High,Sales Executive,Very High,8998,Excellent,Very High,Better,No,26-35
29,Research & Development,1,Below College,Technical Degree,1,High,Male,High,Manufacturing Director,High,4319,Excellent,Low,Better,No,26-35
51,Research & Development,7,Master,Medical,1,Medium,Male,Medium,Manufacturing Director,High,6132,Excellent,High,Better,No,46-55
58,Research & Development,9,Bachelor,Medical,1,Medium,Female,Medium,Research Scientist,Medium,3346,Outstanding,Medium,Good,No,56-65
40,Sales,4,Master,Marketing,1,High,Male,Medium,Sales Executive,Very High,10855,Excellent,Low,Good,No,36-45
34,Sales,2,Master,Marketing,1,High,Female,High,Sales Representative,High,2231,Excellent,Very High,Better,No,26-35
22,Research & Development,19,Below College,Medical,1,High,Male,High,Research Scientist,Very High,2323,Outstanding,Low,Better,No,18-25
27,Research & Development,9,Bachelor,Medical,1,High,Male,High,Research Scientist,Medium,2024,Excellent,Very High,Bad,No,26-35
28,Research & Development,21,Bachelor,Medical,1,High,Male,High,Research Scientist,Very High,2713,Excellent,High,Bad,No,26-35
57,Research & Development,24,College,Life Sciences,1,High,Male,Very High,Healthcare Representative,Very High,9439,Excellent,Medium,Bad,No,56-65
27,Research & Development,3,Bachelor,Medical,1,High,Male,Medium,Research Scientist,High,2566,Excellent,Very High,Good,No,26-35
50,Research & Development,11,Bachelor,Life Sciences,1,High,Female,High,Manager,Medium,19926,Excellent,Medium,Better,No,46-55
41,Research & Development,14,Bachelor,Life Sciences,1,Low,Male,High,Research Scientist,High,2451,Excellent,Low,Better,No,36-45
30,Sales,5,Bachelor,Life Sciences,1,Medium,Female,High,Sales Executive,Very High,9419,Excellent,High,Better,No,26-35
38,Sales,1,Master,Life Sciences,1,Low,Female,Medium,Sales Executive,Very High,8686,Outstanding,High,Best,No,36-45
32,Research & Development,6,Doctor,Life Sciences,1,High,Male,High,Research Scientist,High,3038,Outstanding,Low,Better,No,26-35
27,Research & Development,17,Bachelor,Technical Degree,1,High,Male,High,Research Scientist,Medium,3058,Excellent,Very High,Good,No,26-35
19,Sales,1,Below College,Technical Degree,1,High,Female,Low,Sales Representative,Low,2325,Outstanding,Low,Best,Yes,18-25
36,Research & Development,3,College,Medical,1,High,Male,High,Laboratory Technician,Medium,2088,Excellent,High,Good,No,36-45
30,Research & Development,9,Bachelor,Medical,1,High,Male,High,Laboratory Technician,Low,3072,Excellent,High,Better,No,26-35
45,Sales,4,College,Life Sciences,1,High,Female,High,Sales Executive,Low,5006,Excellent,Low,Best,No,46-55
56,Research & Development,8,Bachelor,Life Sciences,1,High,Female,High,Research Scientist,Low,4257,Excellent,High,Better,No,56-65
33,Research & Development,2,Bachelor,Life Sciences,1,High,Male,High,Research Scientist,Very High,2500,Excellent,Low,Best,No,26-35
19,Research & Development,2,Bachelor,Life Sciences,1,Medium,Male,Medium,Laboratory Technician,Very High,1102,Outstanding,High,Good,Yes,18-25
46,Sales,1,College,Marketing,1,Medium,Female,High,Sales Executive,Low,10453,Outstanding,High,Better,No,46-55
38,Research & Development,9,College,Life Sciences,1,High,Female,High,Laboratory Technician,Very High,2288,Excellent,High,Better,No,36-45
31,Research & Development,12,Below College,Medical,1,High,Female,High,Research Scientist,Very High,3929,Outstanding,High,Better,No,26-35
34,Research & Development,27,College,Medical,1,High,Female,High,Research Scientist,Medium,2311,Excellent,Very High,Better,No,26-35
41,Sales,20,College,Marketing,1,Medium,Female,High,Sales Representative,Medium,3140,Outstanding,Very High,Good,Yes,36-45
50,Research & Development,1,Bachelor,Medical,1,High,Male,Medium,Laboratory Technician,High,3690,Excellent,Very High,Good,No,46-55
53,Research & Development,13,College,Medical,1,High,Female,Very High,Manufacturing Director,Low,4450,Excellent,High,Better,No,46-55
33,Research & Development,14,Bachelor,Medical,1,High,Female,High,Research Scientist,Medium,2756,Excellent,Very High,Better,No,26-35
40,Research & Development,4,Below College,Medical,1,High,Female,High,Manager,High,19033,Excellent,Medium,Better,No,36-45
55,Research & Development,14,Master,Medical,1,High,Male,Very High,Research Director,Medium,18722,Excellent,Very High,Better,No,56-65
34,Research & Development,2,Below College,Life Sciences,1,High,Male,Medium,Manufacturing Director,High,9547,Excellent,High,Good,No,26-35
51,Research & Development,3,Bachelor,Medical,1,High,Female,High,Healthcare Representative,Medium,13734,Excellent,High,Better,No,46-55
52,Research & Development,1,Master,Life Sciences,1,High,Male,Medium,Manager,High,19999,Excellent,Low,Better,No,46-55
27,Research & Development,9,Bachelor,Medical,1,High,Female,High,Research Scientist,Medium,2279,Excellent,Very High,Good,No,26-35
35,Research & Development,23,College,Life Sciences,1,Medium,Male,Medium,Manufacturing Director,High,5916,Excellent,Low,Better,Yes,36-45
43,Research & Development,7,Bachelor,Medical,1,High,Male,Very High,Research Scientist,Very High,2089,Excellent,Very High,Best,No,36-45
45,Research & Development,2,College,Medical,1,Low,Male,Medium,Manager,Very High,16792,Outstanding,Very High,Better,No,46-55
37,Research & Development,21,Bachelor,Life Sciences,1,Medium,Male,Very High,Research Scientist,Low,3564,Excellent,Low,Good,No,36-45
35,Research & Development,2,Bachelor,Medical,1,Medium,Female,High,Laboratory Technician,Medium,4425,Excellent,Very High,Better,No,36-45
42,Research & Development,21,College,Medical,1,High,Female,High,Manufacturing Director,High,5265,Excellent,Medium,Better,No,36-45
38,Research & Development,2,Master,Life Sciences,1,High,Male,High,Manufacturing Director,High,6553,Excellent,Medium,Better,No,36-45
38,Research & Development,29,Bachelor,Technical Degree,1,High,Male,High,Manufacturing Director,Very High,6261,Excellent,Low,Bad,No,36-45
27,Research & Development,1,Below College,Technical Degree,1,High,Male,Medium,Manufacturing Director,Low,4298,Excellent,High,Better,No,26-35
49,Research & Development,18,Master,Life Sciences,1,High,Male,High,Manufacturing Director,Very High,6804,Excellent,Low,Better,No,46-55
34,Research & Development,10,Master,Medical,1,High,Male,High,Research Scientist,High,3815,Excellent,Very High,Best,No,26-35
40,Research & Development,19,College,Medical,1,High,Male,High,Laboratory Technician,Very High,2741,Excellent,High,Best,No,36-45
38,Research & Development,29,Below College,Medical,1,Medium,Male,High,Healthcare Representative,Low,6673,Excellent,Medium,Better,Yes,36-45
29,Sales,27,Bachelor,Marketing,1,Medium,Female,High,Sales Executive,Very High,7639,Outstanding,Very High,Good,Yes,26-35
22,Research & Development,5,Bachelor,Life Sciences,1,High,Male,Very High,Research Scientist,Medium,2328,Excellent,Low,Good,No,18-25
36,Research & Development,18,Below College,Medical,1,Medium,Female,High,Laboratory Technician,Very High,2153,Excellent,Low,Better,No,36-45
40,Research & Development,9,Doctor,Life Sciences,1,High,Male,Medium,Healthcare Representative,Very High,4876,Excellent,Very High,Bad,No,36-45
46,Research & Development,1,Master,Medical,1,High,Male,High,Healthcare Representative,Low,9396,Excellent,High,Better,No,46-55
32,Sales,4,Master,Medical,1,High,Male,Low,Sales Executive,Very High,10400,Excellent,High,Good,Yes,26-35
30,Research & Development,1,Below College,Life Sciences,1,High,Male,Medium,Manufacturing Director,High,8474,Outstanding,High,Better,No,26-35
27,Sales,20,Bachelor,Life Sciences,1,High,Female,High,Sales Executive,High,9981,Excellent,Very High,Better,No,26-35
51,Research & Development,8,Master,Life Sciences,1,Medium,Male,Medium,Research Director,Medium,12490,Excellent,Very High,Bad,No,46-55
30,Research & Development,3,Bachelor,Technical Degree,1,High,Female,High,Research Scientist,Low,2657,Excellent,High,Better,Yes,26-35
41,Sales,6,Bachelor,Life Sciences,1,High,Female,High,Manager,Very High,13591,Excellent,High,Better,No,36-45
30,Sales,26,Master,Marketing,1,High,Female,Medium,Sales Executive,Low,6696,Excellent,High,Good,Yes,26-35
29,Research & Development,1,Bachelor,Technical Degree,1,High,Male,High,Research Scientist,High,2058,Excellent,Very High,Good,Yes,26-35
45,Sales,6,Bachelor,Medical,1,High,Female,Medium,Sales Executive,Very High,8865,Excellent,Very High,Better,No,46-55
54,Sales,3,Bachelor,Marketing,1,High,Female,High,Sales Executive,Low,5940,Excellent,Very High,Better,No,46-55
36,Research & Development,5,College,Life Sciences,1,High,Male,High,Laboratory Technician,Medium,5914,Excellent,Very High,Best,No,36-45
33,Research & Development,4,Master,Medical,1,High,Female,Medium,Research Scientist,Medium,2622,Outstanding,Very High,Better,No,26-35
37,Research & Development,11,Bachelor,Other,1,Medium,Male,High,Research Director,Very High,12185,Excellent,High,Better,No,36-45
38,Sales,3,Bachelor,Life Sciences,1,Low,Male,High,Sales Executive,High,10609,Excellent,High,Good,No,36-45
31,Research & Development,1,Master,Medical,1,High,Male,Low,Manufacturing Director,High,4345,Excellent,Very High,Better,No,26-35
